train_start,train_end,validation_start,validation_end,test_date,prediction,actual,mae
2025-05-06 16:15:00,2025-05-19 06:15:00,2025-05-19 06:30:00,2025-05-21 19:15:00,2025-05-21 19:30:00,0.0021731038577854633,0.0022820106241852045,0.00010890676639974117
2025-05-06 16:30:00,2025-05-19 06:30:00,2025-05-19 06:45:00,2025-05-21 19:30:00,2025-05-21 19:45:00,0.002328774891793728,0.0014059578534215689,0.000922817038372159
2025-05-06 16:45:00,2025-05-19 06:45:00,2025-05-19 07:00:00,2025-05-21 19:45:00,2025-05-21 20:00:00,0.002003115601837635,0.0012686062837019563,0.0007345093181356788
2025-05-06 17:00:00,2025-05-19 07:00:00,2025-05-19 07:15:00,2025-05-21 20:00:00,2025-05-22 04:00:00,0.0017263262998312712,0.001321384683251381,0.00040494161657989025
2025-05-06 17:15:00,2025-05-19 07:15:00,2025-05-19 07:30:00,2025-05-22 04:00:00,2025-05-22 04:15:00,0.0017828427953645587,0.0013063957449048758,0.00047644705045968294
2025-05-06 17:30:00,2025-05-19 07:30:00,2025-05-19 07:45:00,2025-05-22 04:15:00,2025-05-22 04:30:00,0.0016176555072888732,0.0013073203153908253,0.0003103351918980479
2025-05-06 17:45:00,2025-05-19 07:45:00,2025-05-19 08:00:00,2025-05-22 04:30:00,2025-05-22 04:45:00,0.0014596892287954688,0.001293425913900137,0.00016626331489533186
2025-05-06 18:00:00,2025-05-19 08:00:00,2025-05-19 08:15:00,2025-05-22 04:45:00,2025-05-22 05:00:00,0.001390109769999981,0.0011439736699685454,0.0002461361000314355
2025-05-06 18:15:00,2025-05-19 08:15:00,2025-05-19 08:30:00,2025-05-22 05:00:00,2025-05-22 05:15:00,0.001356714405119419,0.0011350971180945635,0.00022161728702485561
2025-05-06 18:30:00,2025-05-19 08:30:00,2025-05-19 08:45:00,2025-05-22 05:15:00,2025-05-22 05:30:00,0.001281747012399137,0.0010524302488192916,0.00022931676357984543
2025-05-06 18:45:00,2025-05-19 08:45:00,2025-05-19 09:00:00,2025-05-22 05:30:00,2025-05-22 05:45:00,0.001263224403373897,0.0007548289140686393,0.0005083954893052578
2025-05-06 19:00:00,2025-05-19 09:00:00,2025-05-19 09:15:00,2025-05-22 05:45:00,2025-05-22 06:00:00,0.001198850222863257,0.0005658803274855018,0.0006329698953777552
2025-05-06 19:15:00,2025-05-19 09:15:00,2025-05-19 09:30:00,2025-05-22 06:00:00,2025-05-22 06:15:00,0.001084997784346342,0.0005190055817365646,0.0005659922026097775
2025-05-06 19:30:00,2025-05-19 09:30:00,2025-05-19 09:45:00,2025-05-22 06:15:00,2025-05-22 06:30:00,0.000954768736846745,0.0005183589528314769,0.0004364097840152681
2025-05-06 19:45:00,2025-05-19 09:45:00,2025-05-19 10:00:00,2025-05-22 06:30:00,2025-05-22 06:45:00,0.0008247553487308323,0.000532096135430038,0.00029265921330079436
2025-05-06 20:00:00,2025-05-19 10:00:00,2025-05-19 10:15:00,2025-05-22 06:45:00,2025-05-22 07:00:00,0.0007332638488151133,0.0005325337406247854,0.00020073010819032788
2025-05-07 04:00:00,2025-05-19 10:15:00,2025-05-19 10:30:00,2025-05-22 07:00:00,2025-05-22 07:15:00,0.0005203189211897552,0.0005520542035810649,3.173528239130974e-05
2025-05-07 04:15:00,2025-05-19 10:30:00,2025-05-19 10:45:00,2025-05-22 07:15:00,2025-05-22 07:30:00,0.0005113675724714994,0.0005369472783058882,2.5579705834388733e-05
2025-05-07 04:30:00,2025-05-19 10:45:00,2025-05-19 11:00:00,2025-05-22 07:30:00,2025-05-22 07:45:00,0.0005008016596548259,0.000857414910569787,0.0003566132509149611
2025-05-07 04:45:00,2025-05-19 11:00:00,2025-05-19 11:15:00,2025-05-22 07:45:00,2025-05-22 08:00:00,0.0005167748895473778,0.0008601756417192519,0.00034340075217187405
2025-05-07 05:00:00,2025-05-19 11:15:00,2025-05-19 11:30:00,2025-05-22 08:00:00,2025-05-22 08:15:00,0.0005855751223862171,0.0008730465197004378,0.00028747139731422067
2025-05-07 05:15:00,2025-05-19 11:30:00,2025-05-19 11:45:00,2025-05-22 08:15:00,2025-05-22 08:30:00,0.0006650143186561763,0.0010244923178106546,0.0003594779991544783
2025-05-07 05:30:00,2025-05-19 11:45:00,2025-05-19 12:00:00,2025-05-22 08:30:00,2025-05-22 08:45:00,0.0008594268001616001,0.0011433003237470984,0.00028387352358549833
2025-05-07 05:45:00,2025-05-19 12:00:00,2025-05-19 12:15:00,2025-05-22 08:45:00,2025-05-22 09:00:00,0.000990296364761889,0.0011449807789176702,0.00015468441415578127
2025-05-07 06:00:00,2025-05-19 12:15:00,2025-05-19 12:30:00,2025-05-22 09:00:00,2025-05-22 09:15:00,0.0010978714562952518,0.001163829118013382,6.595766171813011e-05
2025-05-07 06:15:00,2025-05-19 12:30:00,2025-05-19 12:45:00,2025-05-22 09:15:00,2025-05-22 09:30:00,0.0011731096310541034,0.0011629124637693167,1.0197167284786701e-05
2025-05-07 06:30:00,2025-05-19 12:45:00,2025-05-19 13:00:00,2025-05-22 09:30:00,2025-05-22 09:45:00,0.0012248650891706347,0.001297656330280006,7.279124110937119e-05
2025-05-07 06:45:00,2025-05-19 13:00:00,2025-05-19 13:15:00,2025-05-22 09:45:00,2025-05-22 10:00:00,0.0012731094611808658,0.0013035830343142152,3.047357313334942e-05
2025-05-07 07:00:00,2025-05-19 13:15:00,2025-05-19 13:30:00,2025-05-22 10:00:00,2025-05-22 10:15:00,0.00132442032918334,0.0013459387701004744,2.1518440917134285e-05
2025-05-07 07:15:00,2025-05-19 13:30:00,2025-05-19 13:45:00,2025-05-22 10:15:00,2025-05-22 10:30:00,0.00135239923838526,0.0013132889289408922,3.9110309444367886e-05
2025-05-07 07:30:00,2025-05-19 13:45:00,2025-05-19 14:00:00,2025-05-22 10:30:00,2025-05-22 10:45:00,0.0013994849286973476,0.001321577001363039,7.790792733430862e-05
2025-05-07 07:45:00,2025-05-19 14:00:00,2025-05-19 14:15:00,2025-05-22 10:45:00,2025-05-22 11:00:00,0.001416543498635292,0.0013206956209614873,9.584787767380476e-05
2025-05-07 08:00:00,2025-05-19 14:15:00,2025-05-19 14:30:00,2025-05-22 11:00:00,2025-05-22 11:15:00,0.0014221124583855271,0.0013215445214882493,0.00010056793689727783
2025-05-07 08:15:00,2025-05-19 14:30:00,2025-05-19 14:45:00,2025-05-22 11:15:00,2025-05-22 11:30:00,0.001427564537152648,0.0014064616989344358,2.1102838218212128e-05
2025-05-07 08:30:00,2025-05-19 14:45:00,2025-05-19 15:00:00,2025-05-22 11:30:00,2025-05-22 11:45:00,0.0012296520872041583,0.0014056878862902522,0.0001760357990860939
2025-05-07 08:45:00,2025-05-19 15:00:00,2025-05-19 15:15:00,2025-05-22 11:45:00,2025-05-22 12:00:00,0.001472108531743288,0.0014217749703675508,5.033356137573719e-05
2025-05-07 09:00:00,2025-05-19 15:15:00,2025-05-19 15:30:00,2025-05-22 12:00:00,2025-05-22 12:15:00,0.0014985880116000772,0.0014413830358535051,5.720497574657202e-05
2025-05-07 09:15:00,2025-05-19 15:30:00,2025-05-19 15:45:00,2025-05-22 12:15:00,2025-05-22 12:30:00,0.001287334132939577,0.0014456093776971102,0.00015827524475753307
2025-05-07 09:30:00,2025-05-19 15:45:00,2025-05-19 16:00:00,2025-05-22 12:30:00,2025-05-22 12:45:00,0.0013029089896008372,0.001474830904044211,0.00017192191444337368
2025-05-07 09:45:00,2025-05-19 16:00:00,2025-05-19 16:15:00,2025-05-22 12:45:00,2025-05-22 13:00:00,0.0013030850095674396,0.001476313453167677,0.00017322844360023737
2025-05-07 10:00:00,2025-05-19 16:15:00,2025-05-19 16:30:00,2025-05-22 13:00:00,2025-05-22 13:15:00,0.0013226899318397045,0.0016012168489396572,0.0002785269170999527
2025-05-07 10:15:00,2025-05-19 16:30:00,2025-05-19 16:45:00,2025-05-22 13:15:00,2025-05-22 13:30:00,0.0013298781123012304,0.00161241355817765,0.00028253544587641954
2025-05-07 10:30:00,2025-05-19 16:45:00,2025-05-19 17:00:00,2025-05-22 13:30:00,2025-05-22 13:45:00,0.0014045393327251077,0.0016033665742725134,0.00019882724154740572
2025-05-07 10:45:00,2025-05-19 17:00:00,2025-05-19 17:15:00,2025-05-22 13:45:00,2025-05-22 14:00:00,0.001431382610462606,0.0016021216288208961,0.0001707390183582902
2025-05-07 11:00:00,2025-05-19 17:15:00,2025-05-19 17:30:00,2025-05-22 14:00:00,2025-05-22 14:15:00,0.0014487860025838017,0.0014262907207012177,2.2495281882584095e-05
2025-05-07 11:15:00,2025-05-19 17:30:00,2025-05-19 17:45:00,2025-05-22 14:15:00,2025-05-22 14:30:00,0.0014760262565687299,0.0014295693254098296,4.645693115890026e-05
2025-05-07 11:30:00,2025-05-19 17:45:00,2025-05-19 18:00:00,2025-05-22 14:30:00,2025-05-22 14:45:00,0.001413090736605227,0.0014108523027971387,2.2384338080883026e-06
2025-05-07 11:45:00,2025-05-19 18:00:00,2025-05-19 18:15:00,2025-05-22 14:45:00,2025-05-22 15:00:00,0.001381301786750555,0.0013326318003237247,4.866998642683029e-05
2025-05-07 12:00:00,2025-05-19 18:15:00,2025-05-19 18:30:00,2025-05-22 15:00:00,2025-05-22 15:15:00,0.0013243606081232429,0.0012560257455334067,6.833486258983612e-05
2025-05-07 12:15:00,2025-05-19 18:30:00,2025-05-19 18:45:00,2025-05-22 15:15:00,2025-05-22 15:30:00,0.0012891397345811129,0.0013611179310828447,7.197819650173187e-05
2025-05-07 12:30:00,2025-05-19 18:45:00,2025-05-19 19:00:00,2025-05-22 15:30:00,2025-05-22 15:45:00,0.0012277127243578434,0.0015169213293120265,0.0002892086049541831
2025-05-07 12:45:00,2025-05-19 19:00:00,2025-05-19 19:15:00,2025-05-22 15:45:00,2025-05-22 16:00:00,0.001192490104585886,0.0015158414607867599,0.00032335135620087385
2025-05-07 13:00:00,2025-05-19 19:15:00,2025-05-19 19:30:00,2025-05-22 16:00:00,2025-05-22 16:15:00,0.0012520584277808666,0.0014001531526446342,0.00014809472486376762
2025-05-07 13:15:00,2025-05-19 19:30:00,2025-05-19 19:45:00,2025-05-22 16:15:00,2025-05-22 16:30:00,0.0012859080452471972,0.0014072834746912122,0.00012137542944401503
2025-05-07 13:30:00,2025-05-19 19:45:00,2025-05-19 20:00:00,2025-05-22 16:30:00,2025-05-22 16:45:00,0.0012862031580880284,0.0013777395943179727,9.153643622994423e-05
2025-05-07 13:45:00,2025-05-19 20:00:00,2025-05-20 04:00:00,2025-05-22 16:45:00,2025-05-22 17:00:00,0.0014775459421798587,0.0013626054860651493,0.00011494045611470938
2025-05-07 14:00:00,2025-05-20 04:00:00,2025-05-20 04:15:00,2025-05-22 17:00:00,2025-05-22 17:15:00,0.0014833814930170774,0.001350284437648952,0.00013309705536812544
2025-05-07 14:15:00,2025-05-20 04:15:00,2025-05-20 04:30:00,2025-05-22 17:15:00,2025-05-22 17:30:00,0.0014716312289237976,0.001350284437648952,0.0001213467912748456
2025-05-07 14:30:00,2025-05-20 04:30:00,2025-05-20 04:45:00,2025-05-22 17:30:00,2025-05-22 17:45:00,0.0014594101812690496,0.0013428693637251854,0.00011654081754386425
2025-05-07 14:45:00,2025-05-20 04:45:00,2025-05-20 05:00:00,2025-05-22 17:45:00,2025-05-22 18:00:00,0.0014685490168631077,0.0012678839266300201,0.00020066509023308754
2025-05-07 15:00:00,2025-05-20 05:00:00,2025-05-20 05:15:00,2025-05-22 18:00:00,2025-05-22 18:15:00,0.001453329692594707,0.0012645061360672116,0.00018882355652749538
2025-05-07 15:15:00,2025-05-20 05:15:00,2025-05-20 05:30:00,2025-05-22 18:15:00,2025-05-22 18:30:00,0.0012044153409078717,0.001236023847013712,3.1608506105840206e-05
2025-05-07 15:30:00,2025-05-20 05:30:00,2025-05-20 05:45:00,2025-05-22 18:30:00,2025-05-22 18:45:00,0.0011800533393397927,0.001245699473656714,6.564613431692123e-05
2025-05-07 15:45:00,2025-05-20 05:45:00,2025-05-20 06:00:00,2025-05-22 18:45:00,2025-05-22 19:00:00,0.0013550024013966322,0.0012510463129729033,0.00010395608842372894
2025-05-07 16:00:00,2025-05-20 06:00:00,2025-05-20 06:15:00,2025-05-22 19:00:00,2025-05-22 19:15:00,0.0011420587543398142,0.0012170514091849327,7.499265484511852e-05
2025-05-07 16:15:00,2025-05-20 06:15:00,2025-05-20 06:30:00,2025-05-22 19:15:00,2025-05-22 19:30:00,0.0011362710501998663,0.0012150375405326486,7.876649033278227e-05
2025-05-07 16:30:00,2025-05-20 06:30:00,2025-05-20 06:45:00,2025-05-22 19:30:00,2025-05-22 19:45:00,0.0011180457659065723,0.0010394498240202665,7.859594188630581e-05
2025-05-07 16:45:00,2025-05-20 06:45:00,2025-05-20 07:00:00,2025-05-22 19:45:00,2025-05-22 20:00:00,0.0011242961045354605,0.0010122510138899088,0.00011204509064555168
2025-05-07 17:00:00,2025-05-20 07:00:00,2025-05-20 07:15:00,2025-05-22 20:00:00,2025-05-23 04:00:00,0.0010677920654416084,0.0011076171649619937,3.9825099520385265e-05
2025-05-07 17:15:00,2025-05-20 07:15:00,2025-05-20 07:30:00,2025-05-23 04:00:00,2025-05-23 04:15:00,0.0012202243087813258,0.0011060270480811596,0.00011419726070016623
2025-05-07 17:30:00,2025-05-20 07:30:00,2025-05-20 07:45:00,2025-05-23 04:15:00,2025-05-23 04:30:00,0.0010115744080394506,0.0011161289876326919,0.00010455457959324121
2025-05-07 17:45:00,2025-05-20 07:45:00,2025-05-20 08:00:00,2025-05-23 04:30:00,2025-05-23 04:45:00,0.0010220989352092147,0.0011129028862342238,9.080395102500916e-05
2025-05-07 18:00:00,2025-05-20 08:00:00,2025-05-20 08:15:00,2025-05-23 04:45:00,2025-05-23 05:00:00,0.001000931952148676,0.0010891829151660204,8.825096301734447e-05
2025-05-07 18:15:00,2025-05-20 08:15:00,2025-05-20 08:30:00,2025-05-23 05:00:00,2025-05-23 05:15:00,0.0010100960498675704,0.0011529243784025311,0.00014282832853496075
2025-05-07 18:30:00,2025-05-20 08:30:00,2025-05-20 08:45:00,2025-05-23 05:15:00,2025-05-23 05:30:00,0.0011986015597358346,0.0011901927646249533,8.408795110881329e-06
2025-05-07 18:45:00,2025-05-20 08:45:00,2025-05-20 09:00:00,2025-05-23 05:30:00,2025-05-23 05:45:00,0.0010122597450390458,0.0011250623501837254,0.00011280260514467955
2025-05-07 19:00:00,2025-05-20 09:00:00,2025-05-20 09:15:00,2025-05-23 05:45:00,2025-05-23 06:00:00,0.0012344395508989692,0.0009063860634341836,0.0003280534874647856
2025-05-07 19:15:00,2025-05-20 09:15:00,2025-05-20 09:30:00,2025-05-23 06:00:00,2025-05-23 06:15:00,0.0010756133124232292,0.0009072465472854674,0.00016836676513776183
2025-05-07 19:30:00,2025-05-20 09:30:00,2025-05-20 09:45:00,2025-05-23 06:15:00,2025-05-23 06:30:00,0.001000829041004181,0.0009055943228304386,9.52347181737423e-05
2025-05-07 19:45:00,2025-05-20 09:45:00,2025-05-20 10:00:00,2025-05-23 06:30:00,2025-05-23 06:45:00,0.0009279130026698112,0.0008968349429778755,3.107805969193578e-05
2025-05-07 20:00:00,2025-05-20 10:00:00,2025-05-20 10:15:00,2025-05-23 06:45:00,2025-05-23 07:00:00,0.00088404247071594,0.0008743361686356366,9.70630208030343e-06
2025-05-08 04:00:00,2025-05-20 10:15:00,2025-05-20 10:30:00,2025-05-23 07:00:00,2025-05-23 07:15:00,0.0008683707565069199,0.0010438209865242243,0.00017545023001730442
2025-05-08 04:15:00,2025-05-20 10:30:00,2025-05-20 10:45:00,2025-05-23 07:15:00,2025-05-23 07:30:00,0.0008357491460628808,0.001664194860495627,0.0008284457144327462
2025-05-08 04:30:00,2025-05-20 10:45:00,2025-05-20 11:00:00,2025-05-23 07:30:00,2025-05-23 07:45:00,0.0008395775221288204,0.0018034931272268295,0.0009639156050980091
2025-05-08 04:45:00,2025-05-20 11:00:00,2025-05-20 11:15:00,2025-05-23 07:45:00,2025-05-23 08:00:00,0.0010624841088429093,0.0018038596026599407,0.0007413754938170314
2025-05-08 05:00:00,2025-05-20 11:15:00,2025-05-20 11:30:00,2025-05-23 08:00:00,2025-05-23 08:15:00,0.0012635139282792807,0.001893995562568307,0.0006304816342890263
2025-05-08 05:15:00,2025-05-20 11:30:00,2025-05-20 11:45:00,2025-05-23 08:15:00,2025-05-23 08:30:00,0.0014319265028461814,0.0018958407454192638,0.00046391424257308245
2025-05-08 05:30:00,2025-05-20 11:45:00,2025-05-20 12:00:00,2025-05-23 08:30:00,2025-05-23 08:45:00,0.001790301175788045,0.0018959344597533345,0.00010563328396528959
2025-05-08 05:45:00,2025-05-20 12:00:00,2025-05-20 12:15:00,2025-05-23 08:45:00,2025-05-23 09:00:00,0.0018967402866110206,0.0018903096206486225,6.430665962398052e-06
2025-05-08 06:00:00,2025-05-20 12:15:00,2025-05-20 12:30:00,2025-05-23 09:00:00,2025-05-23 09:15:00,0.0019384311744943261,0.001977919600903988,3.948842640966177e-05
2025-05-08 06:15:00,2025-05-20 12:30:00,2025-05-20 12:45:00,2025-05-23 09:15:00,2025-05-23 09:30:00,0.0019773703534156084,0.002034584293141961,5.721393972635269e-05
2025-05-08 06:30:00,2025-05-20 12:45:00,2025-05-20 13:00:00,2025-05-23 09:30:00,2025-05-23 09:45:00,0.0018104237969964743,0.002035444602370262,0.00022502080537378788
2025-05-08 06:45:00,2025-05-20 13:00:00,2025-05-20 13:15:00,2025-05-23 09:45:00,2025-05-23 10:00:00,0.0018700201762840152,0.002113619353622198,0.00024359917733818293
2025-05-08 07:00:00,2025-05-20 13:15:00,2025-05-20 13:30:00,2025-05-23 10:00:00,2025-05-23 10:15:00,0.0018871432403102517,0.002116817282512784,0.0002296740422025323
2025-05-08 07:15:00,2025-05-20 13:30:00,2025-05-20 13:45:00,2025-05-23 10:15:00,2025-05-23 10:30:00,0.002123613841831684,0.0020807001274079084,4.291371442377567e-05
2025-05-08 07:30:00,2025-05-20 13:45:00,2025-05-20 14:00:00,2025-05-23 10:30:00,2025-05-23 10:45:00,0.0021356381475925446,0.0021108733490109444,2.476479858160019e-05
2025-05-08 07:45:00,2025-05-20 14:00:00,2025-05-20 14:15:00,2025-05-23 10:45:00,2025-05-23 11:00:00,0.002150166779756546,0.0021189695689827204,3.1197210773825645e-05
2025-05-08 08:00:00,2025-05-20 14:15:00,2025-05-20 14:30:00,2025-05-23 11:00:00,2025-05-23 11:15:00,0.0021575733553618193,0.0021634665317833424,5.893176421523094e-06
2025-05-08 08:15:00,2025-05-20 14:30:00,2025-05-20 14:45:00,2025-05-23 11:15:00,2025-05-23 11:30:00,0.0021573661360889673,0.002180007752031088,2.2641615942120552e-05
2025-05-08 08:30:00,2025-05-20 14:45:00,2025-05-20 15:00:00,2025-05-23 11:30:00,2025-05-23 11:45:00,0.002179186325520277,0.0021656500175595284,1.3536307960748672e-05
2025-05-08 08:45:00,2025-05-20 15:00:00,2025-05-20 15:15:00,2025-05-23 11:45:00,2025-05-23 12:00:00,0.0021900443825870752,0.002140039810910821,5.000457167625427e-05
2025-05-08 09:00:00,2025-05-20 15:15:00,2025-05-20 15:30:00,2025-05-23 12:00:00,2025-05-23 12:15:00,0.0019899446051567793,0.0021389781031757593,0.00014903349801898003
2025-05-08 09:15:00,2025-05-20 15:30:00,2025-05-20 15:45:00,2025-05-23 12:15:00,2025-05-23 12:30:00,0.0019488348625600338,0.002141724806278944,0.00019288994371891022
2025-05-08 09:30:00,2025-05-20 15:45:00,2025-05-20 16:00:00,2025-05-23 12:30:00,2025-05-23 12:45:00,0.002189046936109662,0.002140710363164544,4.833657294511795e-05
2025-05-08 09:45:00,2025-05-20 16:00:00,2025-05-20 16:15:00,2025-05-23 12:45:00,2025-05-23 13:00:00,0.0021843232680112123,0.0021778112277388573,6.51204027235508e-06
2025-05-08 10:00:00,2025-05-20 16:15:00,2025-05-20 16:30:00,2025-05-23 13:00:00,2025-05-23 13:15:00,0.001908258767798543,0.002209231723099947,0.000300972955301404
2025-05-08 10:15:00,2025-05-20 16:30:00,2025-05-20 16:45:00,2025-05-23 13:15:00,2025-05-23 13:30:00,0.0022012931294739246,0.0022199340164661407,1.864088699221611e-05
2025-05-08 10:30:00,2025-05-20 16:45:00,2025-05-20 17:00:00,2025-05-23 13:30:00,2025-05-23 13:45:00,0.001957630505785346,0.002152243861928582,0.00019461335614323616
2025-05-08 10:45:00,2025-05-20 17:00:00,2025-05-20 17:15:00,2025-05-23 13:45:00,2025-05-23 14:00:00,0.0019696347881108522,0.0016650055767968297,0.00030462921131402254
2025-05-08 11:00:00,2025-05-20 17:15:00,2025-05-20 17:30:00,2025-05-23 14:00:00,2025-05-23 14:15:00,0.0019542272202670574,0.001454738900065422,0.0004994883202016354
2025-05-08 11:15:00,2025-05-20 17:30:00,2025-05-20 17:45:00,2025-05-23 14:15:00,2025-05-23 14:30:00,0.0017994673689827323,0.001401263289153576,0.0003982040798291564
2025-05-08 11:30:00,2025-05-20 17:45:00,2025-05-20 18:00:00,2025-05-23 14:30:00,2025-05-23 14:45:00,0.00159803731366992,0.0013564081164076924,0.00024162919726222754
2025-05-08 11:45:00,2025-05-20 18:00:00,2025-05-20 18:15:00,2025-05-23 14:45:00,2025-05-23 15:00:00,0.0016721622087061405,0.0013560039224103093,0.0003161582862958312
2025-05-08 12:00:00,2025-05-20 18:15:00,2025-05-20 18:30:00,2025-05-23 15:00:00,2025-05-23 15:15:00,0.0012937122955918312,0.0014289369573816657,0.0001352246617898345
2025-05-08 12:15:00,2025-05-20 18:30:00,2025-05-20 18:45:00,2025-05-23 15:15:00,2025-05-23 15:30:00,0.0014785114908590913,0.001418174128048122,6.033736281096935e-05
2025-05-08 12:30:00,2025-05-20 18:45:00,2025-05-20 19:00:00,2025-05-23 15:30:00,2025-05-23 15:45:00,0.0014476004289463162,0.0014691874384880066,2.158700954169035e-05
2025-05-08 12:45:00,2025-05-20 19:00:00,2025-05-20 19:15:00,2025-05-23 15:45:00,2025-05-23 16:00:00,0.0012008252087980509,0.001432470977306366,0.00023164576850831509
2025-05-08 13:00:00,2025-05-20 19:15:00,2025-05-20 19:30:00,2025-05-23 16:00:00,2025-05-23 16:15:00,0.0014455175260081887,0.0014241533353924751,2.1364190615713596e-05
2025-05-08 13:15:00,2025-05-20 19:30:00,2025-05-20 19:45:00,2025-05-23 16:15:00,2025-05-23 16:30:00,0.0012533603003248572,0.0013414494460448623,8.808914572000504e-05
2025-05-08 13:30:00,2025-05-20 19:45:00,2025-05-20 20:00:00,2025-05-23 16:30:00,2025-05-23 16:45:00,0.0012600880581885576,0.0016840576427057385,0.0004239695845171809
2025-05-08 13:45:00,2025-05-20 20:00:00,2025-05-21 04:00:00,2025-05-23 16:45:00,2025-05-23 17:00:00,0.0012381195556372404,0.00207854644395411,0.0008404268883168697
2025-05-08 14:00:00,2025-05-21 04:00:00,2025-05-21 04:15:00,2025-05-23 17:00:00,2025-05-23 17:15:00,0.0015569468960165977,0.002024028915911913,0.00046708201989531517
2025-05-08 14:15:00,2025-05-21 04:15:00,2025-05-21 04:30:00,2025-05-23 17:15:00,2025-05-23 17:30:00,0.0017822009976953268,0.0020228521898388863,0.00024065119214355946
2025-05-08 14:30:00,2025-05-21 04:30:00,2025-05-21 04:45:00,2025-05-23 17:30:00,2025-05-23 17:45:00,0.001910596969537437,0.0019930528942495584,8.245592471212149e-05
2025-05-08 14:45:00,2025-05-21 04:45:00,2025-05-21 05:00:00,2025-05-23 17:45:00,2025-05-23 18:00:00,0.001997869461774826,0.0019817431457340717,1.6126316040754318e-05
2025-05-08 15:00:00,2025-05-21 05:00:00,2025-05-21 05:15:00,2025-05-23 18:00:00,2025-05-23 18:15:00,0.0018090419471263885,0.0019475524313747883,0.00013851048424839973
2025-05-08 15:15:00,2025-05-21 05:15:00,2025-05-21 05:30:00,2025-05-23 18:15:00,2025-05-23 18:30:00,0.001841158838942647,0.0019474925938993692,0.00010633375495672226
